what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344638113345
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1344638113345
java.specification.name,sysinfo,,,"Java Platform API Specification",1344638113345
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344638113345
java.specification.version,sysinfo,,,"1.6",1344638113345
java.vendor,sysinfo,,,"Apple Inc.",1344638113345
java.version,sysinfo,,,"1.6.0_33",1344638113345
java.vm.info,sysinfo,,,"mixed mode",1344638113345
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1344638113345
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344638113345
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1344638113345
java.vm.specification.version,sysinfo,,,"1.0",1344638113345
java.vm.vendor,sysinfo,,,"Apple Inc.",1344638113345
java.vm.version,sysinfo,,,"20.8-b03-424",1344638113345
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1344638114353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344638114551
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1344638118073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344638118524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344638141466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344638142458
activated,view,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.PackageExplorer",1344638144603
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1344638144753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344638150712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344638158342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344638167326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344892235592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344892236748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344892240656
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1344892240875
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1344892250889
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.200.v201103081922,"org.eclipse.wst.xsl.jaxp.debug.ui",1344892250891
stopped,bundle,com.android.ide.eclipse.ndk,20.0.1.v201207132230-403220,"com.android.ide.eclipse.ndk",1344892250892
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.1.v201207132230-403220,"overlay.com.android.ide.eclipse.adt.overlay",1344892250893
stopped,bundle,com.android.ide.eclipse.adt,20.0.1.v201207132230-403220,"com.android.ide.eclipse.adt",1344892250893
stopped,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1344892250895
stopped,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1344892250898
stopped,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1344892250906
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1344892250906
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1344892250906
stopped,bundle,org.eclipse.wst.web.ui,1.1.500.v201111030500,"org.eclipse.wst.web.ui",1344892250908
stopped,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1344892250908
stopped,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1344892250908
stopped,bundle,org.eclipse.wst.xsl.exslt.ui,1.0.0.v201006012005,"org.eclipse.wst.xsl.exslt.ui",1344892250909
stopped,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1344892250911
stopped,bundle,org.eclipse.wst.xml.xpath.ui,1.1.100.v201105030025,"org.eclipse.wst.xml.xpath.ui",1344892250913
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.404.v201105050216,"org.eclipse.wst.xsd.ui",1344892250917
stopped,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1344892250919
stopped,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1344892250920
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1344892250922
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.1.v201201112313,"org.eclipse.wst.jsdt.debug.rhino.ui",1344892250924
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1344892250926
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.400.v201008112000,"org.eclipse.wst.jsdt.support.firefox",1344892250927
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1344892250927
stopped,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1344892250929
activated,perspective,org.eclipse.wst.jsdt.ui,,"org.eclipse.wst.jsdt.ui.JavaPerspective",1345603137673
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1345603137673
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1345603137674
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1345603137675
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1345603137676
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1345603137676
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1345603137677
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1345603137678
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1345603137678
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1345603137679
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1345603137680
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1345603137680
